25	26	27	28	29	30	31	32	33	34	35	sum
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	1	3	0	1	3	0	0	0	0	0	8
5	3	0	14	50	5	0	0	0	0	0	77
2284	329	4152	30876	885	329	286	10	2	0	0	39153
32	205	1736	215	470	2636	30	0	0	0	0	5324
115	597	235	2112	25654	273	19	5	1	0	0	29011
666	161	1800	19276	588	121	44	0	0	0	0	22656
82	569	6934	383	614	2302	49	2	0	0	0	10935
186	1264	176	1212	12404	206	15	3	0	1	1	15468
893	102	1172	13089	408	112	28	1	0	2	0	15807
46	335	3734	280	565	908	22	0	1	0	0	5891
123	881	210	1362	15963	349	17	1	0	0	1	18907
650	283	2523	22841	961	91	22	5	0	1	0	27377
79	500	4707	423	362	688	11	5	1	0	0	6776
120	1380	168	1155	10872	157	8	6	0	0	2	13868
1195	147	973	11085	364	76	29	0	1	6	0	13876
58	286	2952	292	342	2365	17	2	1	0	0	6315
132	671	178	1322	11053	167	13	14	1	0	2	13553
530	86	724	7523	405	180	31	2	4	0	0	9485
21	209	3649	298	382	1378	19	3	2	0	2	5963
78	664	140	1156	14105	312	40	7	3	1	1	16507
662	119	984	11340	511	351	26	3	0	0	0	13996
42	195	2465	283	3411	1051	38	1	1	1	0	7488
115	842	155	1456	12416	235	20	10	1	1	2	15253
576	113	2853	14745	454	102	29	7	0	0	0	18879
36	332	2815	338	347	1015	19	2	2	0	1	4907
143	815	153	1112	17343	623	11	10	1	0	0	20211
604	99	689	12279	642	138	73	0	1	1	0	14526
38	235	3444	276	574	1284	10	4	2	1	0	5868
152	1798	184	2291	21318	175	32	5	4	1	0	25960
928	165	2026	17696	373	208	110	4	2	1	0	21513
65	410	4958	262	353	1992	34	2	3	0	1	8080
157	1002	127	859	10698	243	21	6	0	0	0	13113
918	114	1803	21456	432	135	35	1	3	1	0	24898
38	339	4089	265	346	917	26	3	1	0	0	6024
96	1080	170	1172	12384	260	19	11	0	1	1	15194
986	155	1189	14460	401	158	59	2	0	2	1	17413
50	262	3483	218	333	1174	13	0	3	0	1	5537
133	1038	203	1285	16620	272	25	4	0	0	0	19580
810	111	1360	14936	299	99	35	2	3	2	0	17657
34	274	3541	203	416	2832	35	5	1	1	1	7343
109	981	164	1455	14961	224	30	6	2	2	0	17934
920	123	1503	14523	551	105	49	3	1	5	1	17784
45	307	3106	211	303	1168	15	2	7	1	0	5165
124	986	201	1631	20128	317	29	8	1	0	0	23425
1145	157	1707	15767	405	138	56	2	3	0	0	19380
76	419	4028	279	452	2546	27	2	6	1	0	7836
165	1214	175	3037	13598	183	54	5	1	1	0	18433
777	144	1335	13366	290	149	35	1	0	1	1	16099
55	485	3820	241	402	1753	24	3	3	0	2	6788
182	1828	248	2671	23561	377	40	11	0	0	0	28918
1236	155	1128	18156	477	126	63	3	1	1	1	21347
47	557	6173	275	374	2023	39	0	1	0	0	9489
137	1059	199	1678	18585	1386	24	7	0	0	0	23075
234392	358495	1173585	3658695	3743530	456199	25014	2658	787	447	202	11143390
