transcript	si-eIF5A-1
YDR057W_mRNA	0.1918819188191882
YMR254C_mRNA	0.029411764705882353
YDL192W_mRNA	0.7403314917127072
YER130C_mRNA	0.5259593679458239
YHR214W_mRNA	0.009852216748768473
YCL057W_mRNA	0.33848314606741575
YJR096W_mRNA	0.38652482269503546
YDR365C_mRNA	0.7595541401273885
YOL038W_mRNA	0.7401574803149606
YDR386W_mRNA	0.0379746835443038
YJL079C_mRNA	0.7391304347826086
YLR258W_mRNA	0.2822695035460993
YJR059W_mRNA	0.31295843520782396
YGR032W_mRNA	0.08548812664907651
YOL130W_mRNA	0.22118742724097787
YMR323W_mRNA	0.0
YOR118W_mRNA	0.1164021164021164
YGR249W_mRNA	0.0021929824561403508
YDR476C_mRNA	0.5714285714285714
YGL086W_mRNA	0.22830440587449932
YJR152W_mRNA	0.0
YEL063C_mRNA	0.5966101694915255
YDL217C_mRNA	0.5797101449275363
YIL134W_mRNA	0.04823151125401929
YER187W_mRNA	0.014184397163120567
YER135C_mRNA	0.038461538461538464
YOL120C_mRNA	0.6612903225806451
YPL182C_mRNA	0.0
YPR200C_mRNA	0.07692307692307693
YLR339C_mRNA	0.0
YPR108W_mRNA	0.5804195804195804
YPR204W_mRNA	0.0
YJL067W_mRNA	0.0
YLR385C_mRNA	0.32575757575757575
YNL013C_mRNA	0.0
YDR156W_mRNA	0.5985401459854015
YER190C-A_mRNA	0.0
YLR086W_mRNA	0.1234132581100141
YNL299W_mRNA	0.14485981308411214
YGL160W_mRNA	0.14912280701754385
YJL090C_mRNA	0.112565445026178
YJR111C_mRNA	0.43462897526501765
YML098W_mRNA	0.23353293413173654
Q0130_mRNA	0.0
YOR056C_mRNA	0.6601307189542484
YGR162W_mRNA	0.7037815126050421
YKR013W_mRNA	0.48328267477203646
YNR065C_mRNA	0.0
YOR046C_mRNA	0.8568464730290456
YLL012W_mRNA	0.20418848167539266
YDR276C_mRNA	0.8727272727272727
YJL143W_mRNA	0.6139240506329114
YLR341W_mRNA	0.0020964360587002098
YGR063C_mRNA	0.8627450980392157
YML122C_mRNA	0.06349206349206349
YJR119C_mRNA	0.25137362637362637
YKR084C_mRNA	0.679214402618658
YLL061W_mRNA	0.0548885077186964
YNL200C_mRNA	0.5528455284552846
YDL080C_mRNA	0.20689655172413793
YPL016W_mRNA	0.23668188736681886
YOR011W_mRNA	0.007890961262553802
YIL107C_mRNA	0.2430471584038694
YNR021W_mRNA	0.5717821782178217
YDR534C_mRNA	0.005681818181818182
YKR033C_mRNA	0.0070921985815602835
YMR141W-A_mRNA	0.0
YKR098C_mRNA	0.05718270571827057
YMR246W_mRNA	0.4654178674351585
YJL172W_mRNA	0.5121527777777778
YPR015C_mRNA	0.1862348178137652
YGL090W_mRNA	0.05463182897862233
YKR062W_mRNA	0.5365853658536586
YDR180W_mRNA	0.03750837240455459
YLR111W_mRNA	0.0
YKL192C_mRNA	0.92
YDR082W_mRNA	0.044534412955465584
YBR008C_mRNA	0.0036496350364963502
YGR217W_mRNA	0.08092202059833252
YGR028W_mRNA	0.19613259668508287
YHR213W-B_mRNA	0.0
YNL152W_mRNA	0.23471882640586797
YGL081W_mRNA	0.028125
YER079W_mRNA	0.49523809523809526
YOR211C_mRNA	0.39841089670828606
YLR330W_mRNA	0.45007451564828616
YDR166C_mRNA	0.384140061791967
YBR246W_mRNA	0.28940568475452194
YDL057W_mRNA	0.21341463414634146
YOR155C_mRNA	0.3466666666666667
YBR171W_mRNA	0.5
YIR005W_mRNA	0.25
YLR038C_mRNA	0.8554216867469879
YDR485C_mRNA	0.5069182389937107
YGR196C_mRNA	0.6438188494492044
YPR104C_mRNA	0.35363247863247865
YPL147W_mRNA	0.0034482758620689655
YJL065C_mRNA	0.7125748502994012
YHR068W_mRNA	0.6201550387596899
YNL182C_mRNA	0.4
YCR093W_mRNA	0.14041745730550284
YBL096C_mRNA	0.0
YNL038W_mRNA	0.1965065502183406
YBL078C_mRNA	0.8376068376068376
YOR332W_mRNA	0.9098712446351931
YBL083C_mRNA	0.1347517730496454
YPR094W_mRNA	0.411214953271028
YCL058C_mRNA	0.039473684210526314
YER045C_mRNA	0.4539877300613497
YIR012W_mRNA	0.6009280742459396
YHR204W_mRNA	0.038944723618090454
YPL228W_mRNA	0.51183970856102
YDL242W_mRNA	0.0
YLR410W_mRNA	0.5235602094240838
YDR363W_mRNA	0.21710526315789475
YBR263W_mRNA	0.4020408163265306
YNL166C_mRNA	0.75
YGL241W_mRNA	0.1294820717131474
YNL198C_mRNA	0.06
YOR058C_mRNA	0.15480225988700566
YOL150C_mRNA	0.06796116504854369
YNL190W_mRNA	0.5049019607843137
YOR146W_mRNA	0.0
YGL191W_mRNA	0.6589147286821705
YLR100W_mRNA	0.3573487031700288
YHR180C-B_mRNA	0.029411764705882353
YOR021C_mRNA	0.7746478873239436
YCL046W_mRNA	0.0
YGR276C_mRNA	0.4231464737793852
YDL091C_mRNA	0.2923076923076923
YHL004W_mRNA	0.29441624365482233
YDR037W_mRNA	0.7208121827411168
YBR298C_mRNA	0.0
YKL184W_mRNA	0.5600858369098712
YGL254W_mRNA	0.3210702341137124
YER144C_mRNA	0.13664596273291926
YNR047W_mRNA	0.23292273236282196
YMR061W_mRNA	0.345642540620384
YBR172C_mRNA	0.5891891891891892
YML003W_mRNA	0.06896551724137931
YMR191W_mRNA	0.19839142091152814
YFR010W-A_mRNA	0.0
YOR380W_mRNA	0.0695970695970696
YBL068W-A_mRNA	0.11538461538461539
YOL064C_mRNA	0.5462184873949579
YBR143C_mRNA	0.88558352402746
YLR285C-A_mRNA	0.03571428571428571
YJR156C_mRNA	0.0058823529411764705
YHL012W_mRNA	0.004056795131845842
YER016W_mRNA	0.311046511627907
YDR140W_mRNA	0.3936651583710407
YOR009W_mRNA	0.002053388090349076
YOL045W_mRNA	0.1362397820163488
YDR346C_mRNA	0.6112266112266113
YPR181C_mRNA	0.7486979166666666
YEL012W_mRNA	0.40825688073394495
YHR175W_mRNA	0.18518518518518517
YDR270W_mRNA	0.10059760956175298
YPL281C_mRNA	0.0
YKL146W_mRNA	0.24132947976878613
YLR435W_mRNA	0.4926829268292683
YBR031W_mRNA	0.1574585635359116
YGR101W_mRNA	0.31213872832369943
YNL255C_mRNA	0.9477124183006536
YHR004C_mRNA	0.242152466367713
YDR106W_mRNA	0.04929577464788732
YKL177W_mRNA	0.0
YGR164W_mRNA	0.0
YOR256C_mRNA	0.35970333745364647
YGL242C_mRNA	0.7403314917127072
YOR092W_mRNA	0.23164763458401305
YKR105C_mRNA	0.0
YMR257C_mRNA	0.035
YHR205W_mRNA	0.3616504854368932
YHR158C_mRNA	0.39862542955326463
YDR228C_mRNA	0.46006389776357826
YLR360W_mRNA	0.0774487471526196
YDR094W_mRNA	0.08108108108108109
YDR271C_mRNA	0.0
YCR067C_mRNA	0.5389671361502347
YGR278W_mRNA	0.17504332755632582
YHR020W_mRNA	0.6598837209302325
YDR175C_mRNA	0.5768025078369906
YBL012C_mRNA	0.0
YIL153W_mRNA	0.2035623409669211
YFR050C_mRNA	0.8984962406015038
YDR144C_mRNA	0.5251677852348994
YAL019W_mRNA	0.27851458885941643
YPR145W_mRNA	0.6416083916083916
YER074W_mRNA	0.4222222222222222
YJR089W_mRNA	0.13417190775681342
YMR158W-B_mRNA	0.0
YKL012W_mRNA	0.2830188679245283
YKL183C-A_mRNA	0.0
YKL022C_mRNA	0.4523809523809524
YGL119W_mRNA	0.1996007984031936
YOR076C_mRNA	0.3962516733601071
YNL063W_mRNA	0.13694267515923567
YFR033C_mRNA	0.6870748299319728
YEL044W_mRNA	0.6024096385542169
YNL098C_mRNA	0.7857142857142857
YDR443C_mRNA	0.1591549295774648
YHL033C_mRNA	0.75
YHR065C_mRNA	0.7644710578842315
YDR001C_mRNA	0.6937416777629827
