transcript_id	frame0	frame1	frame2	frameSum
YKL143W_mRNA	341	5	24	370
YEL046C_mRNA	11557	175	792	12524
YPL164C_mRNA	60	3	9	72
YDR373W_mRNA	382	8	32	422
YPR092W_mRNA	0	0	0	0
YOR158W_mRNA	139	2	14	155
YKL062W_mRNA	400	4	50	454
YKL197C_mRNA	548	10	55	613
YMR215W_mRNA	242	4	20	266
YPL143W_mRNA	9276	155	1204	10635
YGL035C_mRNA	1503	29	162	1694
YMR120C_mRNA	8530	128	722	9380
YJR035W_mRNA	157	4	20	181
YJL016W_mRNA	365	9	32	406
YMR023C_mRNA	86	1	11	98
YIL107C_mRNA	190	6	15	211
YDR368W_mRNA	797	7	65	869
YJL205C_mRNA	110	2	9	121
YIL018W_mRNA	6912	82	648	7642
YGR233C_mRNA	656	19	60	735
YDR380W_mRNA	1882	23	201	2106
YBR083W_mRNA	477	8	54	539
YGR057C_mRNA	116	1	13	130
YAR019W-A_mRNA	0	0	0	0
YKL113C_mRNA	333	9	27	369
YHL016C_mRNA	20	1	1	22
YPL105C_mRNA	2529	55	189	2773
YLR057W_mRNA	128	2	22	152
YPL273W_mRNA	479	8	62	549
YNL157W_mRNA	238	7	30	275
YCR095W-A_mRNA	0	0	0	0
YIL016W_mRNA	164	4	34	202
YMR135C_mRNA	637	43	58	738
YOR203W_mRNA	40	41	756	837
YJR117W_mRNA	284	6	42	332
YEL076C-A_mRNA	0	0	0	0
YNL218W_mRNA	118	2	16	136
YCL063W_mRNA	75	0	10	85
YGR291C_mRNA	0	0	0	0
YLL005C_mRNA	0	1	0	1
YPL252C_mRNA	493	11	50	554
YMR323W_mRNA	0	0	0	0
YGL222C_mRNA	1211	23	132	1366
YIR040C_mRNA	0	0	0	0
YDR406W_mRNA	6	1	3	10
YLR117C_mRNA	448	22	73	543
YNL261W_mRNA	180	5	16	201
YOR122C_mRNA	9602	147	621	10370
YPL011C_mRNA	276	11	32	319
YGL009C_mRNA	16135	216	1294	17645
YFR039C_mRNA	301	4	37	342
YOR261C_mRNA	2498	37	236	2771
YLR388W_mRNA	2691	55	316	3062
YMR272W-A_mRNA	0	0	0	0
YDL030W_mRNA	116	3	16	135
YOR049C_mRNA	0	0	0	0
YNL272C_mRNA	460	9	32	501
YDL235C_mRNA	435	16	58	509
YOR206W_mRNA	914	14	103	1031
YDL103C_mRNA	1490	36	131	1657
YDR257C_mRNA	652	22	49	723
YJL003W_mRNA	63	4	5	72
YGR289C_mRNA	1	0	0	1
YHR049C-A_mRNA	0	0	0	0
YGR158C_mRNA	1157	25	80	1262
YLR030W_mRNA	3	2	0	5
YNL221C_mRNA	1025	25	89	1139
YNL063W_mRNA	76	3	39	118
YKR092C_mRNA	3571	37	205	3813
YDR118W-A_mRNA	1	2	0	3
YML075C_mRNA	1890	26	186	2102
YOL099C_mRNA	0	0	0	0
YPR125W_mRNA	199	4	12	215
YJR132W_mRNA	317	8	20	345
YGR205W_mRNA	264	3	23	290
YLR076C_mRNA	0	0	0	0
YOR114W_mRNA	22	0	1	23
YER030W_mRNA	196	3	33	232
YJL173C_mRNA	403	6	26	435
YIR014W_mRNA	35	0	13	48
YLR376C_mRNA	32	0	11	43
YDR349C_mRNA	761	7	48	816
YMR134W_mRNA	255	8	16	279
YHR126C_mRNA	0	0	0	0
YDL179W_mRNA	129	3	28	160
YGR202C_mRNA	500	25	65	590
YHL027W_mRNA	1057	16	106	1179
YDL176W_mRNA	28	2	3	33
YMR160W_mRNA	139	14	16	169
YDR379C-A_mRNA	76	10	16	102
YIR010W_mRNA	102	1	10	113
YIR029W_mRNA	1	1	0	2
YPL168W_mRNA	67	4	5	76
YMR192W_mRNA	328	6	29	363
YLR095C_mRNA	754	15	65	834
YNL042W_mRNA	49	2	9	60
YDR451C_mRNA	570	11	67	648
YOR394C-A_mRNA	0	0	0	0
YLR414C_mRNA	1524	25	197	1746
YGR215W_mRNA	99	1	19	119
YLR027C_mRNA	2166	43	175	2384
YOR182C_mRNA	14512	129	1026	15667
YGR184C_mRNA	630	9	58	697
YAL054C_mRNA	16	3	2	21
YBR142W_mRNA	307	6	44	357
YMR075C-A_mRNA	0	0	0	0
YOR340C_mRNA	1701	38	177	1916
YML009C-A_mRNA	0	0	0	0
YDR278C_mRNA	0	0	0	0
YMR219W_mRNA	537	9	60	606
YOR073W_mRNA	22	0	5	27
YOR078W_mRNA	196	21	32	249
YDL120W_mRNA	258	2	34	294
YNL130C-A_mRNA	0	0	0	0
YIL094C_mRNA	3656	40	307	4003
YJL115W_mRNA	156	1	10	167
YEL043W_mRNA	246	7	36	289
YDR239C_mRNA	516	22	65	603
YCL052C_mRNA	465	19	66	550
YMR078C_mRNA	95	2	12	109
YDR509W_mRNA	0	0	0	0
YMR313C_mRNA	805	19	101	925
YDL114W_mRNA	0	0	0	0
YLR191W_mRNA	135	2	17	154
YLR104W_mRNA	151	2	6	159
YGR101W_mRNA	172	3	11	186
YIL079C_mRNA	502	10	67	579
YJL202C_mRNA	0	0	1	1
YFR014C_mRNA	440	8	44	492
YCR010C_mRNA	8	0	1	9
YCL055W_mRNA	205	3	23	231
