transcript_id	frame0	frame1	frame2	frameSum
Q0045_mRNA	3	1	4	8
YDR095C_mRNA	0	0	0	0
YDR037W_mRNA	12465	1396	634	14495
YBR041W_mRNA	528	46	31	605
YOR112W_mRNA	428	48	19	495
YNL097C-B_mRNA	0	0	0	0
YDL048C_mRNA	39	6	2	47
YOR208W_mRNA	47	30	4	81
YBR292C_mRNA	0	0	0	0
YMR222C_mRNA	1087	132	62	1281
YNL207W_mRNA	530	51	47	628
YOR009W_mRNA	3	1	0	4
YDL069C_mRNA	61	10	6	77
YML012C-A_mRNA	2	0	0	2
YMR281W_mRNA	166	8	6	180
YDR229W_mRNA	258	21	8	287
YKR010C_mRNA	478	30	25	533
YLR215C_mRNA	445	50	39	534
YDL085C-A_mRNA	512	20	21	553
YDL143W_mRNA	3238	238	172	3648
YJL108C_mRNA	0	1	0	1
YGR214W_mRNA	14294	813	750	15857
YGL067W_mRNA	266	59	22	347
YER039C_mRNA	0	0	0	0
YNL144C_mRNA	34	3	0	37
YMR006C_mRNA	3761	410	199	4370
YCR014C_mRNA	1	0	1	2
YGL235W_mRNA	0	0	0	0
YLR243W_mRNA	327	42	24	393
YDL062W_mRNA	0	0	0	0
YDR429C_mRNA	9692	974	438	11104
YJR099W_mRNA	212	11	5	228
YHR142W_mRNA	373	39	23	435
YGL084C_mRNA	1391	200	102	1693
YFL038C_mRNA	6987	716	411	8114
YJR124C_mRNA	856	119	63	1038
YGR001C_mRNA	1883	175	121	2179
YER037W_mRNA	125	6	10	141
YKL146W_mRNA	436	55	27	518
YBL077W_mRNA	0	0	0	0
YDL106C_mRNA	574	53	41	668
YPL259C_mRNA	733	71	37	841
YBL068W_mRNA	508	36	28	572
YOL163W_mRNA	0	0	1	1
YOL100W_mRNA	104	9	6	119
YOR231W_mRNA	170	23	10	203
YBR103W_mRNA	256	24	27	307
YLR331C_mRNA	0	0	0	0
YPL226W_mRNA	5917	580	305	6802
YNR067C_mRNA	9266	1054	482	10802
YNL067W-B_mRNA	0	0	0	0
YIL144W_mRNA	206	26	14	246
YBR039W_mRNA	1356	89	63	1508
YJR021C_mRNA	142	14	7	163
YOL021C_mRNA	3557	311	183	4051
YLR467C-A_mRNA	0	0	0	0
YGR218W_mRNA	3559	413	203	4175
YNR034W-A_mRNA	8	4	3	15
YLR276C_mRNA	2517	263	153	2933
YNL050C_mRNA	661	68	36	765
YBR069C_mRNA	6542	847	362	7751
YJR041C_mRNA	1602	191	97	1890
YGL024W_mRNA	0	0	0	0
YKR099W_mRNA	164	13	16	193
YPL283W-B_mRNA	0	0	0	0
YPL195W_mRNA	669	73	38	780
YCR079W_mRNA	37	4	4	45
YBR086C_mRNA	4769	585	342	5696
YPL088W_mRNA	26	1	0	27
YOR359W_mRNA	390	41	26	457
YMR255W_mRNA	221	18	21	260
YNL139C_mRNA	2227	224	128	2579
YJL062W-A_mRNA	331	40	18	389
YOR391C_mRNA	0	0	0	0
YGR122W_mRNA	91	13	2	106
YOR382W_mRNA	159	7	11	177
YOL067C_mRNA	412	62	24	498
YDR143C_mRNA	1230	123	54	1407
YFR013W_mRNA	423	31	29	483
YLR358C_mRNA	0	0	0	0
YDR280W_mRNA	438	82	33	553
YHR011W_mRNA	49	2	0	51
YCL061C_mRNA	1219	121	79	1419
YDL041W_mRNA	0	0	0	0
YKL127W_mRNA	2345	258	115	2718
YLR373C_mRNA	781	79	50	910
YLR106C_mRNA	6905	729	379	8013
YML065W_mRNA	313	31	13	357
YGL186C_mRNA	2840	322	161	3323
YMR316C-A_mRNA	0	0	0	0
YIL046W_mRNA	247	19	23	289
YNL159C_mRNA	449	50	40	539
YPR159W_mRNA	2397	236	136	2769
YOL062C_mRNA	509	57	31	597
YIR015W_mRNA	53	7	6	66
YLR141W_mRNA	62	10	7	79
YBL079W_mRNA	736	71	52	859
YOR126C_mRNA	360	46	28	434
YDR027C_mRNA	520	54	47	621
YLL067W-A_mRNA	0	0	0	0
YGL099W_mRNA	1323	149	67	1539
YDL058W_mRNA	1155	111	72	1338
YKL016C_mRNA	3096	218	186	3500
YOR260W_mRNA	1057	92	42	1191
YNR032C-A_mRNA	330	29	20	379
YER149C_mRNA	477	69	31	577
YDR456W_mRNA	364	44	13	421
YNL031C_mRNA	8076	655	391	9122
YGL003C_mRNA	370	53	30	453
YIL132C_mRNA	59	11	4	74
YDL125C_mRNA	5636	615	346	6597
YBL031W_mRNA	75	19	7	101
YHR037W_mRNA	1011	78	65	1154
YER061C_mRNA	374	40	34	448
YLR052W_mRNA	197	12	17	226
YIL110W_mRNA	365	32	22	419
YCR077C_mRNA	5495	625	352	6472
YJR121W_mRNA	5331	569	306	6206
YOR271C_mRNA	5047	678	267	5992
YBL088C_mRNA	172	23	10	205
YLL052C_mRNA	211	34	7	252
YNR047W_mRNA	369	41	27	437
YKR029C_mRNA	897	91	58	1046
YOR292C_mRNA	148	23	12	183
YGR104C_mRNA	405	53	29	487
YOR294W_mRNA	1197	136	87	1420
YML112W_mRNA	166	16	13	195
YMR231W_mRNA	268	29	12	309
YER190C-A_mRNA	0	0	0	0
YDL223C_mRNA	192	17	17	226
YIL169C_mRNA	433	43	15	491
YBR186W_mRNA	4	0	0	4
YML101C-A_mRNA	4	0	1	5
YER039C-A_mRNA	15	5	0	20
YPL248C_mRNA	23	9	1	33
YKL041W_mRNA	319	24	12	355
YKL014C_mRNA	3121	434	194	3749
YNL307C_mRNA	2908	338	169	3415
YNL231C_mRNA	2094	227	137	2458
YBR180W_mRNA	2	0	0	2
YGL063W_mRNA	34	4	5	43
YPR038W_mRNA	0	0	0	0
YBL041W_mRNA	1791	151	110	2052
