motif	si-Ctrl	si-eIF5A
KK	0.00225292022128735	0.00048187468368495
KK	0.00236173890771335	0.0036783614157911
KK	0.03180199668909925	0.0244020447361791
KK	0.00201545295912025	0.00042212771977230004
KK	0.00238334493435535	0.0032101881277233
KK	0.031813688161226	0.02486514703837945
KK	0.00201399499564575	0.00043714391163594997
KK	0.00241674474176355	0.0031363084308152003
KK	0.031974157000950604	0.024311531885679298
KK	0.00201934994373175	0.0004501400281338
KK	0.0022940915812901	0.00329817691491375
KK	0.0311963250756249	0.025175039334013098
KK	0.0019307171623223502	0.0004198713675614
KK	0.00231386818789635	0.0030230465441102
KK	0.03247396658472235	0.024285830370005652
KK	0.0020220007894451	0.0004306330522045
KK	0.0022454494121851003	0.00307855337227035
KK	0.03240100457365075	0.024554315316194848
KK	0.0023761190334471	0.00044217681514435
KK	0.0023250088459969	0.00341511067791425
KK	0.0315121987308487	0.0232815074064237
KK	0.00206248327276905	0.00046349901498664997
KK	0.00215939812412295	0.0033552359456899
KK	0.0317126392534521	0.0254396047937132
KK	0.00199345152622125	0.0005057035921923
KK	0.0023951099751864	0.0030340266758882503
KK	0.030807680368091048	0.023562853260750652
KK	0.0019136203850861002	0.0004024064147443
KK	0.00227054282005025	0.00323863650525345
KK	0.031126367706115897	0.0247198809346449
KK	0.0021127500944485	0.00050992628316975
KK	0.0021806158774064	0.0029035403288153504
KK	0.03187649787222535	0.0245709332153179
KK	0.0022342193382955	0.0005196330101685
KK	0.00293254309140855	0.0045993139764858
KK	0.025606667896237098	0.0191766839164719
KK	0.00039777729445725	0.00022500951318035
KK	0.0027081060348483	0.00412416986146095
KK	0.0270795426609704	0.018696417653181897
KK	0.00055385018029435	0.000203820674002
KK	0.0031091185325995002	0.00427083875285905
KK	0.0294788385582532	0.020328111505862452
KK	0.0018514785586366501	0.00038995881503845
KK	0.0026595591479768	0.0054935082767937505
KK	0.02808122548091135	0.02366465718598855
KK	0.0013657878386365001	0.00029948839690240004
KK	0.0020683474050672	0.0020497668390279
KK	0.0320471493803874	0.01662885061137535
KK	0.0015207911585463502	0.00022249424920005
KK	0.0020353831930279	0.0008967271148554001
KK	0.03389966737018865	0.00849288185602005
KK	0.00209283373367685	0.00028743165353705
KK	0.0022644992323576	0.0009433472022932
KK	0.03150520552933385	0.0080381887599585
KK	0.00217138714387305	0.0003079502288776
KK	0.0021137696219154503	0.0018930633869535499
KK	0.03198338663800765	0.0151369178619965
KK	0.00199814611028805	0.00037100685543750003
KK	0.0018517620976701	0.0018717001002319998
KK	0.02555957037208285	0.015850215763102752
KK	0.00158143703265635	0.00036877475858255
KK	0.0017187620919776499	0.00345080090201355
KK	0.023000361267527948	0.02062024668870055
KK	0.0014973058070814	0.00046831511505775
KK	0.0021845947824829	0.00382610611761345
KK	0.0325108520095109	0.03033581371262685
KK	0.00208551677444905	0.0004804214876103
KK	0.0026268680673492504	0.0039029412446068
KK	0.036427236213057046	0.0303622293533847
KK	0.0023431385894576	0.00048990062694535
KK	0.0024000420531496503	0.00314177431793935
KK	0.03284380655865985	0.02512437245233435
KK	0.0022752166417666	0.00043689967239505004
KK	0.0024516494076603	0.0032439474964758
KK	0.03303513149331465	0.0260739804596213
KK	0.04810570215206545	0.00048720399051785
KK	0.0049867042505313	0.0032210813377554
KK	0.034916018421945846	0.02629247734075895
KK	0.005105205515177199	0.00062673373056755
KK	0.0025160979838522	0.00346061328610355
KK	0.0356912577838152	0.0265670491594263
KK	0.0021151407442767996	0.0005472269925651
KK	0.0026150680535329002	0.0036980122248754
KK	0.0354618621305762	0.03080840222105375
KK	0.0039904436739365	0.0005289646229569
KK	0.0031284337015943997	0.00357936373175275
KK	0.0333214961861	0.0289890716872539
KK	0.00524701310473855	0.0004459329001628
KK	0.00248326914438975	0.00310687428409915
KK	0.03458018627508845	0.0262529463946437
KK	0.00383126815340765	0.00047456754364484996
