motif	si-Ctrl-1	si-Ctrl-2	si-eIF5A-1	si-eIF5A-2
KK	0.0031118407793115045	0.0013939996632632615	0.0003926023272841279	0.0005711470400858285
KK	0.001942626936546428	0.002780850878880375	0.0039043412023744063	0.003452381629207865
KK	0.029921732634876318	0.03368226074332222	0.02345810715856555	0.02534598231379275
KK	0.0028978907982311116	0.001133015120009489	0.00030785489475559534	0.0005364005447891022
KK	0.0018642965142531903	0.0029023933544576773	0.0034400671384069905	0.0029803091170397355
KK	0.030454674985067962	0.033172701337384175	0.023422452222918007	0.02630784185384096
KK	0.0029408679804188665	0.0010871220108727622	0.00032164296669120996	0.0005526448565807523
KK	0.0019177788205294367	0.0029157106629977858	0.003575111773937415	0.002697505087693088
KK	0.029991733671537346	0.03395658033036396	0.02295044637705204	0.025672617394306606
KK	0.002928531060553264	0.0011101688269103368	0.0003677926223313154	0.0005324874339363
KK	0.001834126230454322	0.0027540569321259944	0.003675282678928179	0.002921071150899414
KK	0.029588997428058803	0.03280365272319102	0.02428434855507672	0.02606573011294957
KK	0.0027605259931778037	0.001100908331466952	0.0003063449698244391	0.0005333977652984875
KK	0.0018570091380684202	0.0027707272377243304	0.0033312806861836458	0.002714812402036807
KK	0.030390748524760335	0.03455718464468442	0.023183471729681805	0.025388189010329517
KK	0.0028085740658089046	0.0012354275130813785	0.00034272793194192156	0.000518538172467174
KK	0.0019927366291549735	0.002498162195215359	0.0033558010417004927	0.002801305702840338
KK	0.030419987505047423	0.03438202164225414	0.023465179571542028	0.025643451060847772
KK	0.0033397394908594178	0.0014124985760348644	0.0003887118129763388	0.000495641817312472
KK	0.0018999619871535418	0.002750055704840386	0.0038470492761689583	0.0029831720796596743
KK	0.02981772699470242	0.03320667046699502	0.022542650897794246	0.02402036391505322
KK	0.0029293801995687097	0.001195586345969423	0.0003714303379296332	0.0005555676920437578
KK	0.0018034358864804033	0.002515360361765585	0.0037124511634084936	0.0029980207279714298
KK	0.029959711780808723	0.03346556672609553	0.02406677856904233	0.026812431018384167
KK	0.002779305553394101	0.0012075974990484349	0.0004639382105761368	0.0005474689738085228
KK	0.0019296844426130114	0.002860535507759877	0.0033745967685821247	0.0026934565831944444
KK	0.02951309975336253	0.032102260982819625	0.022643950588832958	0.024481755932668405
KK	0.0026496666760784594	0.0011775740940938345	0.0003532059278077253	0.00045160690168098927
KK	0.0018819267089378732	0.0026591589311627914	0.0035140441032558436	0.002963228907251105
KK	0.029271131505293913	0.03298160390693796	0.02376638088522429	0.025673380984065627
KK	0.002958850418488328	0.0012666497704087736	0.0003752662326043863	0.0006445863337352086
KK	0.0018457068206260113	0.002515524934186826	0.0032708646398230223	0.0025362160178077245
KK	0.030134151432912832	0.033618844311537964	0.02331354647122118	0.025828319959414717
KK	0.0031853659859206614	0.0012830726906704068	0.00044424747815218727	0.000595018542184997
KK	0.00237087977430342	0.003494206408513765	0.004852778302547413	0.004345849650424221
KK	0.024819331715100767	0.02639400407737359	0.017455688305022247	0.020897679527921664
KK	0.0005045444799076689	0.0002910101090069669	0.0002091923054264189	0.00024082672093439427
KK	0.0019610882670534364	0.0034551238026432887	0.004507741523390325	0.003740598199531673
KK	0.026367889196497116	0.02779119612544377	0.017029396400096996	0.020363438906266962
KK	0.0007357846166272484	0.00037191574396156727	0.00021536000648357073	0.00019228134152056287
KK	0.002331357605848415	0.003886879459350613	0.00466127561333074	0.0038804018923874724
KK	0.028340485150761385	0.030617191965745166	0.018462148173051505	0.0221940748386734
KK	0.002662309103349963	0.0010406480139234344	0.0004012188556275018	0.0003786987744494867
KK	0.002115821432544394	0.0032032968634093193	0.006082914842651847	0.004904101710935786
KK	0.027136870332817014	0.029025580629005728	0.02102883823141525	0.026300476140561985
KK	0.0019115710698161877	0.0008200046074569133	0.0003040893783694434	0.00029488741543547966
KK	0.0015499652320559378	0.002586729578078515	0.002398236942874931	0.0017012967351809742
KK	0.028646832266210023	0.035447466494564865	0.01665169600270622	0.016606005220044594
KK	0.002181726975844859	0.0008598553412479645	0.00021302608887684385	0.00023196240952333492
KK	0.0015219622642771884	0.002548804121778762	0.0009530677443430926	0.0008403864853678276
KK	0.028837408474018614	0.038961926266358755	0.008293722248532821	0.008692041463507333
KK	0.002744018789896518	0.0014416486774572793	0.00027183756403812077	0.00030302574303606796
KK	0.0018156380338579204	0.0027133604308573946	0.00104485718271856	0.000841837221867969
KK	0.028656509466112312	0.034353901592555455	0.00817254944272989	0.007903828077187253
KK	0.002880555088408551	0.0014622191993376244	0.0003219190396500318	0.00029398141810529655
KK	0.0017663009929369303	0.0024612382508940375	0.002179227739810581	0.001606899034096617
KK	0.02993294521188887	0.03403382806412653	0.015693302037697532	0.014580533686295506
KK	0.0029052449518395616	0.0010910472687366516	0.0003246980662217896	0.00041731564465335275
KK	0.0015618360773809758	0.002141688117959328	0.001967868560346514	0.0017755316401175277
KK	0.02363181133055719	0.02748732941360864	0.0154937600772311	0.016206671448974454
KK	0.002195509610641418	0.0009673644546713216	0.00033137266946657904	0.0004061768476986571
KK	0.0014900481800982945	0.0019474760038571683	0.00364363897393884	0.00325796283008834
KK	0.023055054305135204	0.022945668229920748	0.01876570613762608	0.022474787239775137
KK	0.002085253179539469	0.0009093584346234329	0.0005335783876720842	0.0004030518424435854
KK	0.0018603142310598811	0.0025088753339060645	0.004196070132429041	0.003456142102797987
KK	0.03029919933607238	0.03472250468294955	0.02987772033762956	0.03079390708762423
KK	0.002993239243184836	0.0011777943057133138	0.0004449863833884674	0.0005158565918322744
KK	0.001960979431960516	0.0032927567027380726	0.004302424925687519	0.0035034575635261114
KK	0.033392649482958794	0.039461822943155464	0.02901393726939688	0.031710521437372685
KK	0.003410564369686508	0.0012757128092287147	0.00047099384889600146	0.0005088074049947781
KK	0.0020406023839120743	0.0027594817223873026	0.003511040829082568	0.002772507806796218
KK	0.030594977000945187	0.035092636116374636	0.023930872392684738	0.02631787251198407
KK	0.003312764138460537	0.001237669145072724	0.00039015023100772903	0.0004836491137824431
KK	0.0020495898808179803	0.002853708934502797	0.003577404195680785	0.0029104907972709385
KK	0.03063622785030561	0.03543403513632376	0.02499080042780377	0.027157160491438914
KK	0.09513873495448388	0.001072669349647145	0.0004087561585577989	0.0005656518224780481
KK	0.007181504802501684	0.002791903698561078	0.003408450442762908	0.0030337122327479854
KK	0.03253020610842272	0.03730183073546903	0.026166138149884225	0.02641881653163373
KK	0.008964617955706815	0.001245793074647671	0.00048748630892589	0.0007659811522093813
KK	0.0019510664782192825	0.003081129489485256	0.00361078406010228	0.0033104425121049355
KK	0.03267996821928105	0.038702547348349485	0.0248900543255349	0.02824404399331779
KK	0.002941325173202212	0.001288956315351424	0.0003816334256985335	0.0007128205594317843
KK	0.002153315257201612	0.003076820849864259	0.004227695882240855	0.0031683285675100955
KK	0.03220130097380276	0.03872242328734978	0.030636903116124988	0.030979901325982603
KK	0.006520646053870206	0.0014602412940028957	0.0005236673412428997	0.0005342619046710682
KK	0.0034630941015853633	0.0027937733016035826	0.004034487823531837	0.003124239639973795
KK	0.031670497682425934	0.034972494689774196	0.02829623889242808	0.02968190448207989
KK	0.009141708133205716	0.0013523180762714184	0.0004374191219410122	0.00045444667838460127
KK	0.002156379803495939	0.0028101584852836875	0.0034247751287419426	0.0027889734394564427
KK	0.03352664298541666	0.03563372956476032	0.025069091141278727	0.02743680164800873
KK	0.006528670052455741	0.0011338662543596255	0.0004194716996927468	0.0005296633875970338
KK	0.004391312243099079	0.0030770643341892848	0.004298571774948396	0.003358706125803413
KK	0.03663298634700461	0.03829827181552218	0.02546065821641417	0.02852172893068144
KK	0.011387771148887534	0.0012560358159695905	0.0004060624859700246	0.0005247057392248773
KK	0.00397670643742811	0.0030270409636676166	0.003794750406940272	0.00312158891711549
KK	0.03254695847931121	0.03561027107982039	0.02439159614347265	0.027150071937470755
KK	0.004575815615029101	0.001093291295187376	0.0003425885617586058	0.0005733755940498731
KK	0.002015276138485901	0.002855581003909433	0.0033858171105709133	0.0027483697309236524
KK	0.03238388002651802	0.03531914013174717	0.023737745546021698	0.026232605561875094
KK	0.0032920840454460187	0.0013580039968069954	0.0003473721366561321	0.0004049567362333255
KK	0.001920437506435583	0.0028506984581715576	0.0040470289281909185	0.003010544397338347
KKK	0.0014361787536870036	0.0008559249677827738	0.00016386726477022703	0.00029904339308022004
KKK	0.0008810319477970863	0.0010510825983026746	0.0020596531377350524	0.002205729735054321
KKK	0.013120561818556942	0.015049621690933657	0.012112235641798271	0.012463164731761851
KKK	0.0012279417437084917	0.000711521456161838	0.00018677412201563505	0.0002818261085544515
KKK	0.000693694342204028	0.0010229549707679632	0.0013281246488038025	0.0010900141663395557
KKK	0.01214102077403934	0.013215373281604473	0.010005958595980842	0.010550177426259534
KKK	0.0009056338437441298	0.0003835778592868999	0.0001282319698152375	0.0003332527512314971
KKK	0.0007619317976505706	0.001064808341171554	0.0015712988779756328	0.0011647026762438097
KKK	0.014154191430908014	0.017392504670471858	0.011337642582572591	0.012507339968220487
KKK	0.00112498757700631	0.0005783139393674906	0.0002350693594010631	0.00042481611025546617
KKK	0.0008739676604453214	0.0008381050525445294	0.0015827474530476923	0.0013514252871094248
KKK	0.013645460431258919	0.016693982264765445	0.011411515910713781	0.012216532982133124
KKK	0.001272772174149925	0.0007922956883561058	0.00018765901674563747	0.0004762085784358928
KKK	0.0007369512449756857	0.0007328822767397988	0.0012746543672655793	0.00097733737505252
KKK	0.014752229179195357	0.018038229853056593	0.01247978580889482	0.013607294072179029
KKK	0.0016068729310611061	0.001148036848670163	0.00019626959203624447	0.0004986492496180467
KKK	0.0008066847698591289	0.0007900095546689192	0.0013412580162412853	0.0012650343051683612
KKK	0.014311990273930406	0.015962259366939662	0.010479749864063624	0.012626655905113617
KKK	0.0015721210043830672	0.000937800961138217	0.00018207828447029485	0.00042032962250015515
KKK	0.0007597560713472125	0.0009156885911396843	0.0013531542374982978	0.0012251702879535133
KKK	0.012491038198756818	0.015295161224922672	0.00873141838383822	0.009007760303920934
KKK	0.0013167993331942806	0.0006223958916143587	0.00013657474730584772	0.00020260693373684943
KKK	0.0006975625273101444	0.0008630663298410684	0.0017521698105619785	0.001257928126237329
KKK	0.01404878054543792	0.015685681507448652	0.010817992102980484	0.010814025230257589
KKK	0.0014427853880104968	0.0006018119464775992	0.00020986495271553874	0.0002819936396882813
KKK	0.000719292559686784	0.001291679050853669	0.0016436268543915974	0.0012304482419779308
