sample	start_density	stop_density	start_lower_CI	start_upper_CI	stop_lower_CI	stop_upper_CI
si-Ctrl	0.0	0.9886321450506579	0.0	0.0	0.8913299213129882	1.0859343687883274
si-Ctrl	0.0	0.949438830052783	0.0	0.0	0.8588018470356811	1.0400758130698848
si-Ctrl	0.0	1.036657337406163	0.0	0.0	0.9282876223285828	1.145027052483743
si-Ctrl	0.029399602997168997	1.0710921855565942	0.021479129219484	0.037320076774854	0.9633260575831459	1.1788583135300423
si-Ctrl	0.5163497976376659	0.9816864729776587	0.4572033691880758	0.5754962260872559	0.8817990223000159	1.0815739236553017
si-Ctrl	0.6612956483834316	1.0408772790193899	0.610437599744025	0.7121536970228382	0.9423964533903904	1.1393581046483892
si-Ctrl	0.5990626564232615	1.0478142221832214	0.5400453176427058	0.6580799952038172	0.9507102756553154	1.1449181687111276
si-Ctrl	0.5672899258922246	1.1411941983869642	0.5217587616867653	0.612821090097684	1.0340841170253263	1.2483042797486026
si-Ctrl	0.5766305878473861	1.0651437883862274	0.5301645822875238	0.6230965934072483	0.9601760864833291	1.1701114902891259
si-Ctrl	0.5891895586721837	1.0364646737201983	0.5356188322034976	0.6427602851408698	0.9391630877872708	1.1337662596531257
si-Ctrl	0.6309237069373361	1.0298700203131879	0.5821035871561635	0.6797438267185087	0.9320398977146873	1.1277001429116882
si-Ctrl	0.6885849033485143	1.023996784444099	0.6366668523734129	0.7405029543236156	0.9281655579568873	1.1198280109313101
si-Ctrl	0.7101034513404654	1.06109418877965	0.6578395342114671	0.7623673684694636	0.961601780886344	1.1605865966729558
si-Ctrl	0.7279782905255887	1.0951622228765339	0.673494298003672	0.7824622830475056	0.9930546777360469	1.1972697680170206
si-Ctrl	0.7616267218627137	1.0775460595124051	0.7044318074252487	0.8188216363001787	0.9761254771633662	1.178966641861444
si-Ctrl	0.8531175327471828	1.082669949762197	0.7919357419975781	0.9142993234967876	0.9855870729040823	1.1797528266203117
si-Ctrl	0.9443260431006414	1.0739252566491742	0.8744970294596723	1.0141550567416104	0.969758363643614	1.1780921496547339
si-Ctrl	0.8338320026624073	1.0054176958273044	0.7774247943051742	0.8902392110196404	0.9115006444214868	1.099334747233122
si-Ctrl	0.9899306070129464	1.0266329804619458	0.9207697902434755	1.0590914237824176	0.9297094429594814	1.1235565179644103
si-Ctrl	1.020032681785717	1.1277590264669297	0.9515518073467604	1.0885135562246737	1.0109647021678496	1.2445533507660098
si-Ctrl	1.1109885928031695	1.1005658876986288	1.033739029244646	1.188238156361693	1.0019842455573926	1.1991475298398653
