si-Ctrl	si-eIF5A
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.1550148169494022	0.5489305032963393
0.5308199101751121	1.42433404348593
0.7066751062379981	1.4713284171541652
0.9670845496343692	1.837155840020568
1.0816233314201738	1.8599863131312409
1.0950332271968692	1.821799324913269
1.249556369637685	1.9332612867931211
1.2293471312246775	1.7589746818504488
1.1716523376815458	1.675804004528644
1.3331595949031878	1.7927525924315235
1.2598966131462022	1.6859825296991056
1.1782223960324265	1.5405102494522054
1.3455724263306106	1.7313508213069335
1.2731908446001678	1.6258202300004256
1.195563136486152	1.4772662173077813
1.382283475888841	1.660994913043928
1.2376369901794337	1.4792234209173414
1.1433926270508292	1.3236424510879214
1.3376817605183149	1.4271572954717013
1.1861846460770171	1.3308420931434979
1.1065177795875627	1.2251635541365569
1.2529871462811837	1.3348880465620856
1.1656844772848332	1.2662665345492048
1.0507742670038023	1.070215418637205
1.2422836024398733	1.2505708067435166
1.1383242861243938	1.1849909788998483
1.032596304449293	1.032829846758042
1.192004173107592	1.1817494714997445
1.0798496119909373	1.0825612415739436
0.9818925232329747	0.9984891137439724
1.1673324927402347	1.1481942370590965
1.0818812008589878	1.0274885386511028
0.9978430719202611	0.9152883623176671
1.1382694322502749	1.0638382401545319
1.0474770553446198	0.9799667980241051
0.973484865179499	0.8986025507402209
1.0899001938741386	0.9741163549226228
0.9859924108741184	0.8935862957828061
0.9288429123162244	0.834063690313164
1.0889279489265797	0.98078347241517
0.9918575509157155	0.8684063547219467
0.9154568975942478	0.8108410240116845
1.079894412216038	0.9600372465703833
0.9717240058663559	0.8399785803678662
0.9149613463341744	0.813489443246445
1.0383706097446295	0.8895432891559978
0.9550825081003114	0.8213721134656384
0.8683300994865477	0.7523880347073231
1.0399873616414737	0.8759960554780744
0.9632728736148095	0.7734702300274918
0.8898260394123554	0.7569930771493105
1.0581288736050365	0.8620934303405583
0.9230076755299474	0.7956127780924809
0.8810809608860896	0.7201068509751541
1.0195121128224884	0.823512971773825
0.9364704842532743	0.7872839445606593
0.8442132347700544	0.6965053855722072
0.9898823224593889	0.7825457250126232
0.8924728349395727	0.7175529301170671
0.8413363989834141	0.6840316011511746
0.9839398345512862	0.7659597922951393
0.8899399844856376	0.7011093330178386
0.860825874346586	0.6813184468715264
1.0088473056405027	0.805869502168967
0.9040766499508134	0.6913816472506429
0.8484244745686459	0.687218653115124
0.9908824484830435	0.7889017759032053
0.8956854595641348	0.6964551774757861
0.8620412046463364	0.6530242361877588
1.015826331662427	0.7668834932484734
0.9080023801538968	0.739872339942726
0.862622830631619	0.667529914431187
0.9691498744259017	0.7351975085974587
0.9070096619368612	0.7065278812440774
0.8350769853696196	0.6949844782685265
0.992240508187253	0.7962030070602886
0.8950163553513173	0.7021171694285651
0.8180426426335778	0.6452579655228531
0.9615020760009834	0.745178671594197
0.8950310312660911	0.7040989077871633
0.8447305067717144	0.6854841230776955
0.9988674674232418	0.7536833543965233
0.9127716370258059	0.6893743437322335
0.8757562702909871	0.6546455199623514
1.0195410835096945	0.7740515271962025
0.952033962710347	0.7010124239006881
0.8589795903452475	0.6382847625306876
0.9753277825372682	0.7508132086081787
0.892662021808508	0.7011561827375183
0.5478201133863266	0.4938728034278068
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
0.0	0.0
