7127
YDR253C	MET32	protein_coding
YDL112W	TRM3	protein_coding
YDR545W	YRF1-1	protein_coding
YDL187C	YDL187C	protein_coding
YDL138W	RGT2	protein_coding
YDR528W	HLR1	protein_coding
YDR284C	DPP1	protein_coding
YDR050C	TPI1	protein_coding
YDL010W	GRX6	protein_coding
YDL065C	PEX19	protein_coding
YDR349C	YPS7	protein_coding
YDL098C	SNU23	protein_coding
YDL234C	GYP7	protein_coding
YDR118W	APC4	protein_coding
YDR118W-A	YDR118W-A	protein_coding
YDR159W	SAC3	protein_coding
YDR111C	ALT2	protein_coding
YDR128W	MTC5	protein_coding
YDL034W	YDL034W	protein_coding
YDR065W	RRG1	protein_coding
YDL004W	ATP16	protein_coding
YDR024W	FYV1	protein_coding
YDL171C	GLT1	protein_coding
YDR083W	RRP8	protein_coding
YDR457W	TOM1	protein_coding
YDR014W	RAD61	protein_coding
YDR206W	EBS1	protein_coding
YDR478W	SNM1	protein_coding
YDR169C	STB3	protein_coding
YDR115W	MRX14	protein_coding
YDL159W-A	YDL159W-A	protein_coding
YDL232W	OST4	protein_coding
YDL240C-A	YDL240C-A	protein_coding
tE(CUC)D	tE(CUC)D	tRNA
YDL152W	YDL152W	protein_coding
YDR432W	NPL3	protein_coding
YDL022C-A	YDL022C-A	protein_coding
YDL114W-A	YDL114W-A	protein_coding
YDR410C	STE14	protein_coding
YDR464C-A	YDR464C-A	protein_coding
YDL072C	YET3	protein_coding
YDR053W	YDR053W	protein_coding
YDL012C	YDL012C	protein_coding
YDR482C	CWC21	protein_coding
YDL070W	BDF2	protein_coding
YDR064W	RPS13	protein_coding
YDL135C	RDI1	protein_coding
YDL077C	VAM6	protein_coding
YDR354C-A	YDR354C-A	protein_coding
YDL033C	SLM3	protein_coding
YDL031W	DBP10	protein_coding
YDR398W	UTP5	protein_coding
YDR326C	YSP2	protein_coding
YDL052C	SLC1	protein_coding
YDR536W	STL1	protein_coding
YDR397C	NCB2	protein_coding
YDL116W	NUP84	protein_coding
YDR028C	REG1	protein_coding
YDL007W	RPT2	protein_coding
YDR236C	FMN1	protein_coding
YDR011W	SNQ2	protein_coding
YDR155C	CPR1	protein_coding
YDR414C	ERD1	protein_coding
YDR026C	NSI1	protein_coding
YDL073W	AHK1	protein_coding
tY(GUA)D	SUP2	tRNA
YDL115C	IWR1	protein_coding
YDL145C	COP1	protein_coding
YDR203W	YDR203W	protein_coding
YDL104C	QRI7	protein_coding
YDL149W	ATG9	protein_coding
YDR231C	COX20	protein_coding
YDR045C	RPC11	protein_coding
YDL075W	RPL31A	protein_coding
YDR415C	YDR415C	protein_coding
YDR339C	FCF1	protein_coding
YDL213C	NOP6	protein_coding
YDR096W	GIS1	protein_coding
YDL019C	OSH2	protein_coding
YDL022W	GPD1	protein_coding
YDR413C	YDR413C	protein_coding
YDR391C	YDR391C	protein_coding
YDR091C	RLI1	protein_coding
YDR240C	SNU56	protein_coding
YDL244W	THI13	protein_coding
YDR179C	CSN9	protein_coding
YDL165W	CDC36	protein_coding
YDL140C	RPO21	protein_coding
YDR120C	TRM1	protein_coding
YDR003W	RCR2	protein_coding
YDR499W	LCD1	protein_coding
YDR166C	SEC5	protein_coding
YDL092W	SRP14	protein_coding
YDL041W	YDL041W	protein_coding
YDL241W	YDL241W	protein_coding
YDL082W	RPL13A	protein_coding
YDR277C	MTH1	protein_coding
YDR291W	HRQ1	protein_coding
YDR475C	JIP4	protein_coding
YDR244W	PEX5	protein_coding
YDR407C	TRS120	protein_coding
YDR382W	RPP2B	protein_coding
YDR102C	YDR102C	protein_coding
YDL188C	PPH22	protein_coding
YDR405W	MRP20	protein_coding
YDR443C	SSN2	protein_coding
YDR059C	UBC5	protein_coding
YDR144C	MKC7	protein_coding
YDL157C	YDL157C	protein_coding
YDL058W	USO1	protein_coding
YDL096C	OPI6	protein_coding
YDL155W	CLB3	protein_coding
YDR147W	EKI1	protein_coding
YDL191W	RPL35A	protein_coding
YDL128W	VCX1	protein_coding
YDR310C	SUM1	protein_coding
YDL160C-A	MHF2	protein_coding
YDR127W	ARO1	protein_coding
YDR497C	ITR1	protein_coding
YDL162C	YDL162C	protein_coding
tS(AGA)D3	tS(AGA)D3	tRNA
YDR201W	SPC19	protein_coding
YDR163W	CWC15	protein_coding
YDL146W	LDB17	protein_coding
YDR363W-A	SEM1	protein_coding
YDL221W	YDL221W	protein_coding
YDL089W	NUR1	protein_coding
YDR385W	EFT2	protein_coding
YDR331W	GPI8	protein_coding
YDR196C	CAB5	protein_coding
YDR116C	MRPL1	protein_coding
YDR001C	NTH1	protein_coding
YDL230W	PTP1	protein_coding
YDR160W	SSY1	protein_coding
YDR123C	INO2	protein_coding
YDR322W	MRPL35	protein_coding
YDR040C	ENA1	protein_coding
YDR025W	RPS11A	protein_coding
YDR046C	BAP3	protein_coding
YDL057W	YDL057W	protein_coding
YDL248W	COS7	protein_coding
YDR008C	YDR008C	protein_coding
YDR029W	YDR029W	protein_coding
YDR485C	VPS72	protein_coding
YDR408C	ADE8	protein_coding
YDR038C	ENA5	protein_coding
YDL204W	RTN2	protein_coding
YDR019C	GCV1	protein_coding
YDR477W	SNF1	protein_coding
YDR254W	CHL4	protein_coding
YDR514C	YDR514C	protein_coding
YDR296W	MHR1	protein_coding
YDL216C	RRI1	protein_coding
YDL100C	GET3	protein_coding
YDL068W	YDL068W	protein_coding
YDL026W	YDL026W	protein_coding
YDL124W	YDL124W	protein_coding
YDL227C	HO	protein_coding
YDL111C	RRP42	protein_coding
YDR324C	UTP4	protein_coding
YDL170W	UGA3	protein_coding
YDR317W	HIM1	protein_coding
YDR436W	PPZ2	protein_coding
YDR208W	MSS4	protein_coding
YDR386W	MUS81	protein_coding
YDR504C	SPG3	protein_coding
YDL220C	CDC13	protein_coding
YDR396W	YDR396W	protein_coding
YDR258C	HSP78	protein_coding
YDR176W	NGG1	protein_coding
YDL099W	BUG1	protein_coding
YDR380W	ARO10	protein_coding
YDL110C	TMA17	protein_coding
YDR148C	KGD2	protein_coding
YDL201W	TRM8	protein_coding
YDL107W	MSS2	protein_coding
YDR515W	SLF1	protein_coding
YDR133C	YDR133C	protein_coding
YDR378C	LSM6	protein_coding
YDR473C	PRP3	protein_coding
YDR403W	DIT1	protein_coding
YDR268W	MSW1	protein_coding
YDR409W	SIZ1	protein_coding
YDR173C	ARG82	protein_coding
YDR187C	YDR187C	protein_coding
YDR389W	SAC7	protein_coding
YDR417C	YDR417C	protein_coding
YDR165W	TRM82	protein_coding
YDL113C	ATG20	protein_coding
YDR426C	YDR426C	protein_coding
YDR521W	YDR521W	protein_coding
YDR086C	SSS1	protein_coding
YDL021W	GPM2	protein_coding
YDR023W	SES1	protein_coding
YDR394W	RPT3	protein_coding
YDR320C-A	DAD4	protein_coding
YDR003W-A	YDR003W-A	protein_coding
YDR183W	PLP1	protein_coding
YDR245W	MNN10	protein_coding
YDR431W	YDR431W	protein_coding
YDL154W	MSH5	protein_coding
YDL184C	RPL41A	protein_coding
YDR153C	ENT5	protein_coding
YDR014W-A	HED1	protein_coding
YDR434W	GPI17	protein_coding
YDL002C	NHP10	protein_coding
YDR225W	HTA1	protein_coding
YDR418W	RPL12B	protein_coding
YDR224C	HTB1	protein_coding
YDR502C	SAM2	protein_coding
YDR447C	RPS17B	protein_coding
YDL039C	PRM7	protein_coding
YDL225W	SHS1	protein_coding
YDR259C	YAP6	protein_coding
YDR495C	VPS3	protein_coding
YDL151C	BUD30	protein_coding
YDR357C	CNL1	protein_coding
YDR370C	DXO1	protein_coding
YDR298C	ATP5	protein_coding
YDR276C	PMP3	protein_coding
YDL185C-A	YDL185C-A	protein_coding
YDR545C-A	YDR545C-A	protein_coding
tM(CAU)D	EMT1	tRNA
YDL247W	MPH2	protein_coding
YDR406W	PDR15	protein_coding
YDR273W	DON1	protein_coding
YDR269C	YDR269C	protein_coding
YDR453C	TSA2	protein_coding
YDR383C	NKP1	protein_coding
YDR375C	BCS1	protein_coding
YDL161W	ENT1	protein_coding
YDL051W	LHP1	protein_coding
YDR084C	TVP23	protein_coding
YDL056W	MBP1	protein_coding
YDR344C	YDR344C	protein_coding
YDR320C	SWA2	protein_coding
YDR221W	GTB1	protein_coding
tI(AAU)D	tI(AAU)D	tRNA
YDL032W	YDL032W	protein_coding
YDR456W	NHX1	protein_coding
YDL036C	PUS9	protein_coding
tL(CAA)D	tL(CAA)D	tRNA
